2024-03-01,Salary,50000,Income  
2024-03-04,Groceries,-2300,Food  
2024-03-10,Electricity Bill,-1700,Utilities  
2024-03-15,Cinema,-550,Entertainment  

2024-04-01,Salary,50000,Income  
2024-04-03,Freelance Project,8000,Income  
2024-04-07,Petrol,-1800,Transport  
2024-04-12,Lunch,-300,Food  

2024-05-01,Salary,50000,Income  
2024-05-05,Gym Subscription,-1200,Fitness  
2024-05-10,Shopping Online,-2900,Shopping  
2024-05-17,Internet Bill,-1100,Utilities  

2024-06-01,Salary,50000,Income  
2024-06-04,Groceries,-2500,Food  
2024-06-08,Mobile Recharge,-400,Utilities  
2024-06-11,Dinner Out,-1700,Food  

2024-07-01,Salary,50000,Income  
2024-07-06,Gift Purchase,-900,Shopping  
2024-07-14,Train Tickets,-750,Transport  
2024-07-20,Stock Dividend,1000,Income  
